id,name,description,contact_id,type,form,category,rate,duration,start_date,finish_date,cost,num_visit,num_visit_left,filial,invoice_id,discount,discount_comment,internal_notice,tags,tags2,event_id,assign_reason
e140537b-a45b-e2fa-c971-6a141e3c4377,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,2536561c-d4bf-a714-6eb5-6a0d5dca7b9c,Standart,,,,360,2026-05-25,2027-05-20,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
737ac3a1-11e4-15ff-b348-6a0d9b4118ff,ЛШ 2026 Очно Москва 3.08 - 14.08 (ФОТОН),,25850d47-1c2f-e166-ac7a-69f99e6a18cf,Standart,,,,360,2026-05-20,2027-05-15,34300,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,52700,,,,,OCH_LSH_MSK_FOTON_0308,единственная очная ЛШ ученика; строка участника важнее текста платежа
19ff0822-2ba5-a04e-3947-6a16cae80a21,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,27d7f16e-80c6-d8e2-e899-6a0aed21c1c6,Standart,,,,360,2026-05-27,2027-05-22,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
d26e8b74-11ba-95b3-512d-6a141d92f4bb,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,29e87cfc-ef53-32bf-2cb6-66eec15869e9,Standart,,,,360,2026-05-25,2027-05-20,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
7f90eb84-6760-0d19-1808-6a14347d22de,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,2abeaf2e-a901-e8d9-f0aa-69fb4c72a7d3,Standart,,,,360,2026-05-25,2027-05-20,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,"совпали признаки смены среди групп ученика, score=9"
f100d648-43d8-b3f3-0899-6a1431ea2a0a,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,2c191e60-1bfa-1e43-657a-68f223beb1e3,Standart,,,,360,2026-05-25,2027-05-20,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MFTI_UNPK_1708,единственная очная ЛШ ученика; строка участника важнее текста платежа
f0871c74-f20b-f53f-c69a-6a1d398371d4,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,2ee864c7-fae9-8e06-14d1-6a158565c511,Standart,,,,360,2026-06-01,2027-05-27,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
c1878d91-22dc-19cc-2840-6a0c67f805ab,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,3380a81a-6785-8a0f-6004-6a0566a643d9,Standart,,,,360,2026-05-19,2027-05-14,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
d8e4d115-fb9f-ad9d-a2e5-6a0c4e807f3c,ЛШ 2026 Очно МФТИ 17.08 - 28.08 (УНПК),,34ed3d82-386d-00eb-1ee8-69fdf5a845e1,Standart,,,,360,2026-05-19,2027-05-14,37500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,49500,,,,,OCH_LSH_MFTI_UNPK_1708,единственная очная ЛШ ученика; строка участника важнее текста платежа
628eae35-4bcb-5842-25b3-6a0c50c1ed59,ЛШ 2026 Очно Москва 6.07 - 17.07 (УНПК),,35158c62-f3c2-d854-925c-69fb3e0a31f4,Standart,,,,360,2026-05-19,2027-05-14,59500,1,1,{'vyezdnye_shkoly_inogorodnij_': 'Выездные школы (иногородний)'},,27500,,,,,OCH_LSH_MSK_UNPK_0607,единственная очная ЛШ ученика; строка участника важнее текста платежа
