fact_id,brand,product,fact_key,fact_type,program_kind,venue_source,program_source
fact:v3:unpk:kb_v6_6_client_safe_facts_2026_06_08_study_pause_flexible_schedule_personal_client_safe_text:8a6db04cda,unpk,kb_v6_6_client_safe_facts_2026_06_08,kb_v6_6_client_safe_facts_2026_06_08.study_pause_flexible_schedule_personal.client_safe_text,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:locations_foton_free_trial_offline_client_safe_text:c7c7eabe19,foton,locations_foton,locations_foton.free_trial_offline.client_safe_text,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:locations_foton_free_trial_offline_note_internal:e87dd6073c,foton,locations_foton,locations_foton.free_trial_offline.note_internal,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:locations_foton_free_trial_offline_currently_unavailable_in_foton:0a8d8425ce,foton,locations_foton,locations_foton.free_trial_offline_currently_unavailable_in_foton,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:locations_unpk_free_trial_offline_available:de63b125ac,unpk,locations_unpk,locations_unpk.free_trial_offline.available,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:locations_unpk_free_trial_offline_note_internal:2d76c06597,unpk,locations_unpk,locations_unpk.free_trial_offline.note_internal,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:unpk:locations_unpk_free_trial_offline_offer:2b3abf4975,unpk,locations_unpk,locations_unpk.free_trial_offline.offer,location,any,manual_any_structural_tail,manual_any_structural_tail
fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_benefit:a08fab92e3,foton,regular_courses_2026_27,prices_regular_2026_27.early_booking_2026_27.benefit,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_description:2951748851,foton,regular_courses_2026_27,prices_regular_2026_27.early_booking_2026_27.description,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_note_internal:8c876155a5,foton,regular_courses_2026_27,prices_regular_2026_27.early_booking_2026_27.note_internal,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_payment_deadline:6a71101b91,foton,regular_courses_2026_27,prices_regular_2026_27.early_booking_2026_27.payment_deadline,deadline,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:prices_regular_2026_27_early_booking_2026_27_signup_deadline:fbfc06b1f5,foton,regular_courses_2026_27,prices_regular_2026_27.early_booking_2026_27.signup_deadline,deadline,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_offline_1_4_class_before_2026_07_01_semester:822adda0a0,unpk,regular_courses_2026_27,prices_regular_2026_27.offline_1_4_class.before_2026_07_01.semester,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_offline_1_4_class_before_2026_07_01_year:dde3131cf8,unpk,regular_courses_2026_27,prices_regular_2026_27.offline_1_4_class.before_2026_07_01.year,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_offline_1_4_class_note_internal:ebfd593ed9,unpk,regular_courses_2026_27,prices_regular_2026_27.offline_1_4_class.note_internal,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_offline_5_11_class_before_2026_07_01_semester:091cddc130,unpk,regular_courses_2026_27,prices_regular_2026_27.offline_5_11_class.before_2026_07_01.semester,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:prices_regular_2026_27_offline_5_11_class_before_2026_07_01_year:c9c10537f7,unpk,regular_courses_2026_27,prices_regular_2026_27.offline_5_11_class.before_2026_07_01.year,price,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_1_owner_2026_06_12_foton_author_program_not_single_textbook:cd9d5ec9a3,foton,regular_courses_2026_27,r4_1_owner_2026_06_12.foton.author_program_not_single_textbook,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_1_owner_2026_06_12_foton_midyear_entry_payment_and_records:61908edaa2,foton,regular_courses_2026_27,r4_1_owner_2026_06_12.foton.midyear_entry_payment_and_records,process,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_1_owner_2026_06_12_foton_regular_group_size:37731c44c1,foton,regular_courses_2026_27,r4_1_owner_2026_06_12.foton.regular_group_size,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_1_owner_2026_06_12_foton_schedule_timezone_msk:32837c23f6,foton,regular_courses_2026_27,r4_1_owner_2026_06_12.foton.schedule_timezone_msk,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_author_program_not_single_textbook:c440b2614e,unpk,regular_courses_2026_27,r4_1_owner_2026_06_12.unpk.author_program_not_single_textbook,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_midyear_entry_payment_and_records:b8dec39b1f,unpk,regular_courses_2026_27,r4_1_owner_2026_06_12.unpk.midyear_entry_payment_and_records,process,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_regular_group_size:6b1fb955c5,unpk,regular_courses_2026_27,r4_1_owner_2026_06_12.unpk.regular_group_size,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_schedule_timezone_msk:286b7b3a34,unpk,regular_courses_2026_27,r4_1_owner_2026_06_12.unpk.schedule_timezone_msk,course_parameter,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_owner_2026_06_11_foton_lesson_duration_by_format:160fe36060,foton,regular_courses_2026_27,r4_owner_2026_06_11.foton.lesson_duration_by_format,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_owner_2026_06_11_foton_midyear_new_student_curator_support:0d82e9a8b3,foton,regular_courses_2026_27,r4_owner_2026_06_11.foton.midyear_new_student_curator_support,process,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_owner_2026_06_11_foton_small_groups_personal_attention:1c89d3518f,foton,regular_courses_2026_27,r4_owner_2026_06_11.foton.small_groups_personal_attention,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_owner_2026_06_11_foton_subject_lineup_2026_27:558dd374e6,foton,regular_courses_2026_27,r4_owner_2026_06_11.foton.subject_lineup_2026_27,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_owner_2026_06_11_unpk_lesson_duration_by_format:6f972a4eba,unpk,regular_courses_2026_27,r4_owner_2026_06_11.unpk.lesson_duration_by_format,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_owner_2026_06_11_unpk_midyear_new_student_curator_support:016a1780a9,unpk,regular_courses_2026_27,r4_owner_2026_06_11.unpk.midyear_new_student_curator_support,process,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_owner_2026_06_11_unpk_small_groups_personal_attention:bce829cbf8,unpk,regular_courses_2026_27,r4_owner_2026_06_11.unpk.small_groups_personal_attention,format,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_owner_2026_06_11_unpk_subject_lineup_2026_27:a3a89e5c3f,unpk,regular_courses_2026_27,r4_owner_2026_06_11.unpk.subject_lineup_2026_27,program,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:foton:r4_1_owner_2026_06_12_foton_acquaintance_mechanics:13be05d5ce,foton,trial_and_acquaintance,r4_1_owner_2026_06_12.foton.acquaintance_mechanics,process,regular,manual_any_structural_tail,product_or_fact_type
fact:v3:unpk:r4_1_owner_2026_06_12_unpk_acquaintance_mechanics:1afff099be,unpk,trial_and_acquaintance,r4_1_owner_2026_06_12.unpk.acquaintance_mechanics,process,regular,manual_any_structural_tail,product_or_fact_type
