эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	60950b00-b00f-d7d6-584c-6a0da07e1c29
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d19585fe-3a83-6c30-0998-69dcc7d5b057
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	10a10679-0e08-de0f-508c-69a80267ee63
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6c915b99-8a32-0ae1-c1d0-6a143016059b
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7a8b42f8-bca8-1030-3354-69a7fb92b019
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	589898f7-4fc3-ea18-044c-6a0c5e097dfc
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d066dda9-a22d-261c-8c6a-69eb600a0951
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	11efd63c-f3ac-5dbc-1406-6a0da6f4ec0f
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	4222d5db-f53a-5fd6-7618-69ff2341cda9
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	523db8d7-2451-602a-c63d-69d3890416fd
